Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean,Population,City 2,Company_harmonizer_cleaned,Company_harmonizer_score,Company_harmonizer_id,Company_harmonizer_standardized
07/01/2020,09/04/2020,10/02/2020,"**CoreLogic Credco, LLC (Cancelled)",San Diego,San Diego County,137.0,Layoff Permanent,San Diego County,2020,layoff permanent,3338330.0,san diego,CORELOGIC CREDCO CANCELLED,0.0,0,"**CoreLogic Credco, LLC (Cancelled)"
07/17/2020,09/23/2020,10/02/2020,**JC Penney (Cancelled),San Bernardino,San Bernardino County,109.0,Closure Permanent,San Bernardino County,2020,closure permanent,2180085.0,san bernardino,JC PENNEY CANCELLED,59.46218487389961,1,**JC Penney (Cancelled)
03/25/2020,03/25/2020,03/25/2020,1 Hotel West Hollywood,West Hollywood,Los Angeles County,223.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,west hollywood,1 HOTEL WEST HOLLYWOOD,31.301587301537616,2,1 Hotel West Hollywood
04/10/2020,03/18/2020,05/01/2020,1100 Group LLC The Star & Little Star Plaza,Alameda,Alameda County,53.0,Layoff Temporary,Alameda County,2020,layoff temporary,1671329.0,alameda,1100 STAR LITTLE STAR PLAZA,34.31884057966041,3,1100 Group LLC The Star & Little Star Plaza
03/28/2020,03/17/2020,04/10/2020,"115 New Montgomery LLC, DBA The Bird",San Francisco,San Francisco County,18.0,Layoff Temporary,San Francisco County,2020,layoff temporary,881549.0,san francisco,115 NEW MONTGOMERY BIRD,35.154929577415274,4,"115 New Montgomery LLC, DBA The Bird"
03/28/2020,03/17/2020,04/10/2020,"117 New Montgomery LLC, DBA Super Duper",San Francisco,San Francisco County,16.0,Layoff Temporary,San Francisco County,2020,layoff temporary,881549.0,san francisco,117 NEW MONTGOMERY SUPER DUPER,76.23529411759723,5,"117 New Montgomery LLC, DBA Super Duper"
05/05/2020,04/18/2020,05/13/2020,"12:05AM Productions, LLC",Los Angeles,Los Angeles County,107.0,Layoff Temporary,Los Angeles County,2020,layoff temporary,10039107.0,los angeles,1205AM PRODUCTIONS,37.99999999995,6,"12:05AM Productions, LLC"
06/18/2020,06/26/2020,09/28/2020,1440 Multiversity,Scotts Valley,Santa Cruz County,102.0,Layoff Permanent,Santa Cruz County,2020,layoff permanent,273213.0,scotts valley,1440 MULTIVERSITY,37.333333333283555,7,1440 Multiversity
03/18/2020,03/18/2020,03/27/2020,1440 Multiversity,Scotts Valley,Santa Cruz County,149.0,Layoff Permanent,Santa Cruz County,2020,layoff permanent,273213.0,scotts valley,1440 MULTIVERSITY,99.99999999995,7,1440 Multiversity
03/30/2020,04/01/2020,03/30/2020,"1661, Inc. dba GOAT",Los Angeles,Los Angeles County,96.0,Layoff Permanent,Los Angeles County,2020,layoff permanent,10039107.0,los angeles,1661 GOAT,15.77142857138351,8,"1661, Inc. dba GOAT"
