Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
0,12/04/2020,12/06/2020,12/30/2020,Blackhawk Country Club,Blackhawk Country Club,Danville,Contra Costa County,3.0,Layoff Temporary,Contra Costa County,2020,layoff temporary
1,12/07/2020,12/09/2020,12/30/2020,"Fullerton Baekjeong, LLC","Fullerton Baekjeong, LLC",Buena Park,Orange County,67.0,Closure Permanent,Orange County,2020,closure permanent
2,12/07/2020,12/09/2020,12/30/2020,"Irvine Baekjeong, LLC","Irvine Baekjeong, LLC",Irvine,Orange County,68.0,Closure Permanent,Orange County,2020,closure permanent
3,12/09/2020,12/10/2020,12/30/2020,OCMC Inc. dba Orange County Mining Co.,OCMC Inc. dba Orange County Mining Co.,Santa Ana,Orange County,59.0,Closure Temporary,Orange County,2020,closure temporary
4,12/07/2020,12/07/2020,12/30/2020,"Parker Palm Springs, LLC",Parker Palm Springs LLC,Palm Springs,Riverside County,79.0,Layoff Temporary,Riverside County,2020,layoff temporary
5,12/10/2020,12/14/2020,12/29/2020,California Pizza Kitchen,California Pizza Kitchen,Palo Alto,Santa Clara County,14.0,Layoff Temporary,Santa Clara County,2020,layoff temporary
6,10/15/2020,12/15/2020,12/28/2020,Century Blinds Inc.,Century Blinds Inc.,Corona,Riverside County,46.0,Closure Permanent,Riverside County,2020,closure permanent
7,12/09/2020,12/10/2020,12/28/2020,"LTF Club Management Company, LLC","LTF Club Management Company, LLC",La Jolla,San Diego County,11.0,Layoff Temporary,San Diego County,2020,layoff temporary
8,12/02/2020,12/02/2020,12/28/2020,"Cisco Systems, Inc.","Cisco Systems, Inc.",San Jose,Santa Clara County,101.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
9,09/18/2020,11/16/2020,12/28/2020,APL,APL,Newport Beach,Orange County,7.0,Layoff Permanent,Orange County,2020,layoff permanent
10,09/04/2020,08/27/2020,12/28/2020,Bon App&eacute;tit Management Co. (Bon App&eacute;tit) operations at Oracle,Bon Appetit,Redwood City,San Mateo County,105.0,Layoff Temporary,San Mateo County,2020,layoff temporary
11,12/08/2020,12/09/2020,12/24/2020,California Grand Casino,California Grand Casino,Pacheco,Contra Costa County,181.0,Layoff Type Unknown,Contra Costa County,2020,layoff type unknown
12,12/08/2020,02/27/2021,12/24/2020,"GroceryWorks.com Operating Company, LLC.","GroceryWorks.com Operating Company, LLC.",Sacramento,Sacramento County,47.0,Layoff Permanent,Sacramento County,2020,layoff permanent
13,12/08/2020,12/06/2020,12/24/2020,"Belmont Park Entertainment, LLC.","Belmont Park Entertainment, LLC.",San Diego,San Diego County,153.0,Layoff Permanent,San Diego County,2020,layoff permanent
14,11/19/2020,01/16/2021,12/24/2020,Abercrombie & Fitch Co,Abercrombie  & Fitch - HCo.,San Luis Obispo,San Luis Obispo County,40.0,Closure Permanent,San Luis Obispo County,2020,closure permanent
15,12/19/2020,01/16/2021,12/24/2020,Abercrombie & Fitch Co.,Abercrombie  & Fitch - HCo.,Santa Rosa,Sonoma County,29.0,Closure Permanent,Sonoma County,2020,closure permanent
16,12/11/2020,12/07/2020,12/23/2020,Montage Laguna Beach Hotel,Montage Laguna Beach Hotel,Laguna Beach,Orange County,138.0,Layoff Temporary,Orange County,2020,layoff temporary
17,12/08/2020,12/07/2020,12/23/2020,"PSLCT, Inc. dba Las Casuelas Terraza",PSLCT Inc. dba Las Casuelas Terraza,Palm Springs,Riverside County,106.0,Layoff Type Unknown,Riverside County,2020,layoff type unknown
18,12/07/2020,12/07/2020,12/23/2020,Ocean's 11 Casino,Ocean's 11 Casino,Oceanside,San Diego County,360.0,Closure Temporary,San Diego County,2020,closure temporary
19,12/11/2020,12/06/2020,12/23/2020,Pendry San Diego,Pendry San Diego,San Diego,San Diego County,118.0,Layoff Temporary,San Diego County,2020,layoff temporary
20,12/10/2020,10/27/2020,12/23/2020,Wells Fargo,Wells Fargo,San Francisco,San Francisco County,86.0,Layoff Permanent,San Francisco County,2020,layoff permanent
21,12/04/2020,12/11/2020,12/23/2020,Grace GCCA LLC,Grace GCCA LLC,Ventura,Ventura County,7.0,Layoff Temporary,Ventura County,2020,layoff temporary
22,12/07/2020,01/01/2021,12/23/2020,California Academy of Sciences,California Academy of Sciences,San Francisco,San Francisco County,69.0,Layoff Temporary,San Francisco County,2020,layoff temporary
23,12/06/2020,12/06/2020,12/22/2020,"PT Gaming, LLC - Pacheco Facility","PT Gaming, LLC ",Martinez,Contra Costa County,61.0,Layoff Permanent,Contra Costa County,2020,layoff permanent
24,12/08/2020,12/08/2020,12/22/2020,Xanterra Parks & Resorts,XANTERRA PARKS AND RESORTS,Death Valley,Inyo County,131.0,Layoff Temporary,Inyo County,2020,layoff temporary
25,12/11/2020,02/12/2021,12/22/2020,"Armstrong Flooring, Inc.","Armstrong Flooring, Inc.",South Gate,Los Angeles County,66.0,Closure Permanent,Los Angeles County,2020,closure permanent
26,12/11/2020,11/25/2020,12/22/2020,"Nobu Malibu, LLC","Nobu Malibu, LLC",Malibu,Los Angeles County,117.0,Closure Temporary,Los Angeles County,2020,closure temporary
