Column,Notice Date,Effective Date,Received Date,Company,Company 2,City,County,Employees,Layoff/Closure,Year
0,10/26/2020,12/28/2020,11/10/2020,DAMAC Products LLC,DAMAC Products LLC,La Mirada,Los Angeles County,79.0,closure permanent,2020
1,10/27/2020,12/31/2020,11/10/2020,Gulfstream,Gulfstream,Long Beach,Los Angeles County,608.0,closure permanent,2020
2,10/26/2020,12/16/2020,11/10/2020,Renaissance Newport Beach Hotel,Renaissance Hotel,Newport Beach,Orange County,104.0,closure permanent,2020
3,10/01/2020,10/05/2020,11/10/2020,Howmet Aerospace,Howmet Aerospace,Rancho Cucamonga,San Bernardino County,66.0,layoff temporary,2020
4,10/26/2020,07/07/2020,11/10/2020,"Newport Diversified, Inc.","Newport Diversified, Inc.",El Cajon,San Diego County,91.0,layoff temporary,2020
5,09/24/2020,09/18/2020,11/10/2020,"Universal City Studios, LLC dba Universal Studios Hollywood","Universal City Studios, LLC",Universal City,Los Angeles County,4.0,closure temporary,2020
6,09/17/2020,09/21/2020,11/10/2020,"Production Resource Group, L.L.C.","Production Resource Group, L.L.C.",San Fernando,Los Angeles County,81.0,layoff permanent,2020
7,10/07/2020,10/09/2020,11/09/2020,"VHG Beverly Hills, LLC",VHG Hotel,Beverly Hills,Los Angeles County,87.0,layoff permanent,2020
8,09/16/2020,04/25/2020,11/09/2020,Panasonic Avionics Corporation,Panasonic Avionics Corporation,Lake Forest,Orange County,588.0,layoff permanent,2020
9,10/21/2020,03/18/2020,11/09/2020,Hyatt Corporation dba Hyatt Regency Huntington Beach Resort and Spa,Hyatt Corporation,Huntington Beach,Orange County,194.0,layoff permanent,2020
10,10/06/2020,11/05/2020,11/09/2020,Natomas Sports Club,Natomas Sports Club,Sacramento,Sacramento County,89.0,closure permanent,2020
11,09/30/2020,09/30/2020,11/09/2020,"WASH Multifamily Laundry Systems, LLC","WASH Multifamily Laundry Systems, LLC",Sacramento,Sacramento County,1.0,layoff permanent,2020
12,09/21/2020,10/01/2020,11/09/2020,"Becton, Dickinson and Company (&ldquo;BD&rdquo;)","Becton, Dickinson and Company",San Diego,San Diego County,89.0,layoff permanent,2020
13,10/01/2020,10/31/2020,11/09/2020,SodexoMAGIC,Sodexo,Anaheim,Orange County,183.0,closure temporary,2020
14,10/14/2020,03/31/2021,11/09/2020,"Ichor Systems, Inc.","Ichor Systems, Inc.",Union City,Alameda County,42.0,closure permanent,2020
15,10/01/2020,12/01/2020,11/09/2020,Ace Beverage LLC,Ace Beverage LLC,Los Angeles,Los Angeles County,200.0,closure permanent,2020
16,10/01/2020,12/11/2020,11/09/2020,Ace Beverage LLC,Ace Beverage LLC,Los Angeles,Los Angeles County,200.0,closure permanent,2020
17,10/02/2020,10/02/2020,11/09/2020,"Service King Paint & Body, LLC.","Service King Paint & Body, LLC.",Mountain View,Santa Clara County,16.0,closure permanent,2020
18,10/02/2020,10/02/2020,11/09/2020,"Service King Paint & Body, LLC.","Service King Paint & Body, LLC.",San Jose,Santa Clara County,15.0,layoff permanent,2020
19,10/02/2020,10/02/2020,11/09/2020,"Service King Paint & Body, LLC.","Service King Paint & Body, LLC.",Santa Clara,Santa Clara County,18.0,layoff permanent,2020
20,10/15/2020,12/16/2020,11/06/2020,Hotel Nikko San Francisco,Hotel Nikko San Francisco,San Francisco,San Francisco County,211.0,layoff permanent,2020
21,10/01/2020,10/01/2020,11/06/2020,"iHeartMedia + Entertainment, Inc., Premiere Networks, Inc. and iHeartMedia Management Services, Inc.","iHeartMedia + Entertainment, Inc.",Burbank,Los Angeles County,81.0,layoff permanent,2020
22,10/01/2020,10/01/2020,11/06/2020,"iHeartMedia + Entertainment, Inc., Premiere Networks, Inc. and iHeartMedia Management Services, Inc.","iHeartMedia + Entertainment, Inc.",Hollywood,Los Angeles County,7.0,layoff permanent,2020
23,07/23/2020,09/22/2020,11/05/2020,"Crescent Hotels and Resorts, LLC","Crescent Resorts & Hotels, LLC",Sacramento,Sacramento County,30.0,layoff permanent,2020
24,11/01/2020,09/01/2020,11/05/2020,"LEGOLAND California, LLC. dba LEGOLAND California Resort",LEGOLAND California LLC dba LEGOLAND California Resort,Carlsbad,San Diego County,65.0,layoff permanent,2020
25,06/25/2020,03/16/2020,11/05/2020,Boys & Girls Clubs of Greater San Diego,Boys & Girls Clubs of Greater San Diego,San Diego,San Diego County,105.0,closure temporary,2020
26,09/18/2020,09/25/2020,11/05/2020,San Diego Convention Center Corporation,San Diego Convention Center Corporation,San Diego,San Diego County,26.0,layoff permanent,2020
27,05/29/2020,05/31/2020,11/04/2020,Hawaiian Gardens Casino,Hawaiian Gardens Casino,Hawaiian Gardens,Los Angeles County,1185.0,layoff permanent,2020
28,06/09/2020,04/20/2020,11/03/2020,PIH Health Hospital - Whittier,PIH Health Hospital,Whittier,Los Angeles County,61.0,layoff temporary,2020
29,06/09/2020,06/15/2020,11/03/2020,PIH Health Hospital - Whittier,PIH Health Hospital,Whittier,Los Angeles County,9.0,layoff permanent,2020
30,06/10/2020,06/15/2020,11/03/2020,PIH Health Hospital - Downey,PIH Health Hospital,Downey,Los Angeles County,7.0,layoff permanent,2020
31,06/10/2020,06/15/2020,11/03/2020,PIH Health Hospital - Downey,PIH Health Hospital,Downey,Los Angeles County,11.0,layoff temporary,2020
32,04/17/2020,04/20/2020,11/03/2020,PIH Health Hospital - Downey,PIH Health Hospital,Downey,Los Angeles County,28.0,layoff temporary,2020
33,05/01/2020,06/01/2020,11/03/2020,PIH Health Hospital - Downey,PIH Health Hospital,Downey,Los Angeles County,56.0,layoff permanent,2020
