,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,Year
0,10/26/2020,12/28/2020,11/10/2020,DAMAC Products LLC,La Mirada,Los Angeles County,79.0,closure permanent,2020
1,10/27/2020,12/31/2020,11/10/2020,Gulfstream,Long Beach,Los Angeles County,608.0,closure permanent,2020
2,10/26/2020,12/16/2020,11/10/2020,Renaissance Newport Beach Hotel,Newport Beach,Orange County,104.0,closure permanent,2020
3,10/01/2020,10/05/2020,11/10/2020,Howmet Aerospace,Rancho Cucamonga,San Bernardino County,66.0,layoff temporary,2020
4,10/26/2020,07/07/2020,11/10/2020,"Newport Diversified, Inc.",El Cajon,San Diego County,91.0,layoff temporary,2020
5,09/24/2020,09/18/2020,11/10/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County,4.0,closure temporary,2020
6,09/17/2020,09/21/2020,11/10/2020,"Production Resource Group, L.L.C.",San Fernando,Los Angeles County,81.0,layoff permanent,2020
7,10/07/2020,10/09/2020,11/09/2020,"VHG Beverly Hills, LLC",Beverly Hills,Los Angeles County,87.0,layoff permanent,2020
8,09/16/2020,04/25/2020,11/09/2020,Panasonic Avionics Corporation,Lake Forest,Orange County,588.0,layoff permanent,2020
9,10/21/2020,03/18/2020,11/09/2020,Hyatt Corporation dba Hyatt Regency Huntington Beach Resort and Spa,Huntington Beach,Orange County,194.0,layoff permanent,2020
10,10/06/2020,11/05/2020,11/09/2020,Natomas Sports Club,Sacramento,Sacramento County,89.0,closure permanent,2020
11,09/30/2020,09/30/2020,11/09/2020,"WASH Multifamily Laundry Systems, LLC",Sacramento,Sacramento County,1.0,layoff permanent,2020
12,09/21/2020,10/01/2020,11/09/2020,"Becton, Dickinson and Company (&ldquo;BD&rdquo;)",San Diego,San Diego County,89.0,layoff permanent,2020
13,10/01/2020,10/31/2020,11/09/2020,SodexoMAGIC,Anaheim,Orange County,183.0,closure temporary,2020
