,Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,County Orig,Year,Layoff/Closure clean
0,06/09/2020,06/07/2020,07/01/2020,Bay Club Redondo Beach,Redondo Beach,Los Angeles County,102.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
1,06/09/2020,06/07/2020,07/01/2020,Bay Club Rolling Hills,Rolling Hills Estates,Los Angeles County,64.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
2,06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Monica,Santa Monica,Los Angeles County,82.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
3,06/19/2020,08/21/2020,07/01/2020,"Weber Metals, Inc",Paramount,Los Angeles County,169.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
4,06/09/2020,06/07/2020,07/01/2020,StoneTree Golf Club,Novato,Marin County,32.0,Layoff Permanent,Marin County,2020,layoff permanent
5,06/09/2020,06/07/2020,07/01/2020,Bay Club Ross Valley,Kentfield,Marin County,51.0,Layoff Permanent,Marin County,2020,layoff permanent
6,06/23/2020,06/23/2020,07/01/2020,The Freeman Company LLC,Anaheim,Orange County,29.0,Layoff Permanent,Orange County,2020,layoff permanent
7,06/18/2020,03/20/2020,07/01/2020,Hyatt Regency Sacramento,Sacramento,Sacramento County,203.0,Layoff Permanent,Sacramento County,2020,layoff permanent
8,06/18/2020,06/17/2020,07/01/2020,"Granite Summit, Inc",Running Springs,San Bernardino County,60.0,Layoff Type Unknown ,San Bernardino County,2020,layoff type unknown
9,06/18/2020,06/17/2020,07/01/2020,Pali Camp,Running Springs,San Bernardino County,71.0,Layoff Type Unknown ,San Bernardino County,2020,layoff type unknown
10,06/18/2020,06/17/2020,07/01/2020,"Pali Institute, Inc",Running Springs,San Bernardino County,35.0,Layoff Type Unknown ,San Bernardino County,2020,layoff type unknown
11,06/18/2020,06/17/2020,07/01/2020,"Pali Mountain Conference Center, Inc",Running Springs,San Bernardino County,17.0,Layoff Type Unknown ,San Bernardino County,2020,layoff type unknown
12,06/09/2020,06/07/2020,07/01/2020,Bay Club SF Tennis,San Francisco,San Francisco County,64.0,Layoff Permanent,San Francisco County,2020,layoff permanent
13,06/09/2020,06/07/2020,07/01/2020,Bay Club San Francisco,San Francisco,San Francisco County,146.0,Layoff Permanent,San Francisco County,2020,layoff permanent
14,06/09/2020,06/07/2020,07/01/2020,Bay Club Redwood Shores,Redwood City,San Mateo County,298.0,Layoff Permanent,San Mateo County,2020,layoff permanent
15,06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Clara,Santa Clara,Santa Clara County,182.0,Layoff Permanent,Santa Clara County,2020,layoff permanent
16,06/16/2020,06/22/2020,07/01/2020,Eaton Corporation,Camarillo,Ventura County,61.0,Layoff Temporary,Ventura County,2020,layoff temporary
17,06/26/2020,08/28/2020,07/01/2020,Boeing Edwards AFB RIF,Edwards,Kern County,6.0,Layoff Permanent,Kern County,2020,layoff permanent
18,06/26/2020,08/28/2020,07/01/2020,Boeing El Segundo RIF,El Segundo,Los Angeles County,3.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
19,06/26/2020,08/28/2020,07/01/2020,Boeing Long Beach RIF,Long Beach,Los Angeles County,19.0,Layoff Permanent,Los Angeles County,2020,layoff permanent
20,06/26/2020,08/28/2020,07/01/2020,Boeing Huntington Beach RIF,Huntington Beach,Orange County,24.0,Layoff Permanent,Orange County,2020,layoff permanent
21,06/25/2020,06/30/2020,07/01/2020,Macy's,Modesto,Stanislaus County,75.0,Layoff Permanent,Stanislaus County,2020,layoff permanent
22,06/09/2020,06/07/2020,07/02/2020,Bay Club Walnut Creek,Walnut Creek,Contra Costa County,291.0,Layoff Permanent,Contra Costa County,2020,layoff permanent
23,06/22/2020,03/23/2020,07/02/2020,Swisstex California Inc,Los Angeles,Los Angeles County,9.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
24,04/15/2020,03/26/2020,07/02/2020,Adecco at Air Fayre USA inc.,Gardena,Los Angeles County,310.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
25,04/15/2020,03/30/2020,07/02/2020,"Western Dental Services, Inc.",Orange,Orange County,504.0,Layoff Temporary,Orange County,2020,layoff temporary
26,06/09/2020,06/07/2020,07/02/2020,Bay Club at the Gateway,San Francisco,San Francisco County,62.0,Layoff Permanent,San Francisco County,2020,layoff permanent
27,06/17/2020,07/01/2020,07/02/2020,THE TECH INTERACTIVE,San Jose,Santa Clara County,64.0,Layoff Type Unknown ,Santa Clara County,2020,layoff type unknown
28,04/20/2020,04/17/2020,07/02/2020,"Guitar Center, Inc.",Thousand Oaks,Ventura County,55.0,Layoff Temporary,Ventura County,2020,layoff temporary
29,06/24/2020,06/19/2020,07/02/2020,Grand Hyatt at SFO,San Francisco,San Francisco County,15.0,Layoff Permanent,San Francisco County,2020,layoff permanent
30,04/15/2020,03/16/2020,07/02/2020,BON APPETIT Management Company,San Francisco,San Francisco County,1529.0,Layoff Temporary,San Francisco County,2020,layoff temporary
31,04/20/2020,04/01/2020,07/02/2020,"Kinestral Technologies, Inc.",Hayward,Alameda County,71.0,Layoff Temporary,Alameda County,2020,layoff temporary
32,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, inc. dba Lucille's Smokehouse Bar-B-Que",Torrance,Los Angeles County,66.0,Closure Temporary,Los Angeles County,2020,closure temporary
33,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Long Beach,Los Angeles County,47.0,Closure Temporary,Los Angeles County,2020,closure temporary
34,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Torrance,Los Angeles County,100.0,Closure Temporary,Los Angeles County,2020,closure temporary
35,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Lucille's Smokehouse Barbque",Long Beach,Los Angeles County,80.0,Closure Temporary,Los Angeles County,2020,closure temporary
36,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Saint & Second",Long Beach,Los Angeles County,85.0,Closure Temporary,Los Angeles County,2020,closure temporary
37,04/19/2020,04/06/2020,07/02/2020,MV Transportation,Los Angeles,Los Angeles County,20.0,Layoff Temporary,Los Angeles County,2020,layoff temporary
38,03/23/2020,03/23/2020,07/02/2020,"Hof's Hut Restaurant, Inc.",Los Alamitos,Orange County,56.0,Closure Temporary,Orange County,2020,closure temporary
39,03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, Inc. dba Lucille's Smokehouse Bar-B-Que.",Orange,Orange County,36.0,Closure Temporary,Orange County,2020,closure temporary
40,04/17/2020,04/17/2020,07/02/2020,"Accredited Debt Relief, Inc.",San Diego,San Diego County,320.0,Layoff Permanent,San Diego County,2020,layoff permanent
41,06/16/2020,03/31/2020,07/02/2020,PLAYERS CASINO,Ventura,Ventura County,183.0,Layoff Temporary,Ventura County,2020,layoff temporary
42,04/20/2020,04/21/2020,07/03/2020,San Joaquin Valley College Inc.,Hanford,Kings County,7.0,Layoff Permanent,Kings County,2020,layoff permanent
