,rowid,﻿X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,VCHR_AMNT,VCHR_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,UGLG_KEY,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,Unnamed: 109,GEO_ID,NAME,Estimate Total,Margin of Error,50 Percent or More,Margin of Error for 50 percent or more,Rent Burden Percent,COUNTY FIPS
0,1864,-118.2067,33.900609,1864,CA071,City of Compton Housing Authority,3106053080,3106053096.0,,3106055585.0,3106053096.0,mantwine@comptoncity.org,,,803,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,628,628,78.21,0,803,625,99.52,0,0,0,0,6702673,5812173,0,0,1113,1104,516,12.02,12.08,99.84,12456,6,Los Angeles,37.0,542000.0,2.0,2004.0,,,Los Angeles,37.0,90560.0,Compton,15044.0,Compton city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0644,804.0,Y,,700 N Bullis Rd,,Compton,CA,90221.0,2209.0,,90221.0,0.0,3.0,90221220900.0,S,,,,0.0,,,,,100% Overall probable correctness,33.900609,-118.2067,S,,R,U,** Street-Level Rooftop **,06037,615044.0,6037542000.0,60375420002.0,615044.0,2020/08/24 16,57,41+00,8541167,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
1,1877,-118.396175,34.021315,1877,CA110,Culver City Housing Authority,3102535780,3102535785.0,,3102535780.0,3102535785.0,tevis.barnes@culvercity.org,,,384,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,91,91,23.7,0,384,90,98.9,0,0,0,0,1375128,1301512,0,0,1355,1247,14,40.85,11.97,98.89,12215,6,Los Angeles,37.0,702400.0,2.0,2012.0,,,Los Angeles,37.0,91750.0,Los Angeles,17568.0,Culver City city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0637,900.0,Y,,9770 Culver Blvd,,Culver City,CA,90232.0,2703.0,,90232.0,70.0,5.0,90232270370.0,S,,,,0.0,,,,,100% Overall probable correctness,34.021315,-118.396175,S,,R,U,** Street-Level Rooftop **,06037,617568.0,6037702400.0,60377024002.0,617568.0,2020/08/24 16,57,41+00,1347239,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
2,1878,-118.353955,33.918389000000005,1878,CA126,Hawthorne Housing,3103491603,3109789864.0,kmack@cityofhawthorne.org,3103491600.0,3109789864.0,kmack@cityofhawthorne.org,,,711,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,543,543,76.38,0,711,813,100.0,0,0,0,0,5977306,5603644,0,0,1653,1580,399,20.1,14.95,99.51,12452,6,Los Angeles,37.0,602106.0,2.0,2009.0,,,Los Angeles,37.0,91400.0,Inglewood,32548.0,Hawthorne city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0643,1596.0,D,,4455 W 126th St,,Hawthorne,CA,90250.0,4421.0,,90250.0,99.0,5.0,90250442199.0,H,1SUD,,,2.0,,,N,,80% Overall probable correctness,33.918389000000005,-118.353955,S,,R,U,** Street-Level Rooftop **,06037,632548.0,6037602106.0,60376021062.0,632548.0,2020/08/24 16,57,41+00,9310059,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
3,1879,-118.378596,33.872607,1879,CA103,Housing Authority of the City of Redondo Beach,3103180635,3107988463.0,Angelica.Zavala@redondo.org,3103721171.0,,joe.hoefgen@redondo.org,,,633,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,437,437,69.03,0,633,428,97.94,0,0,0,0,6369923,5905570,0,0,1175,1103,118,38.53,13.49,99.77,14396,6,Los Angeles,37.0,620701.0,1.0,1002.0,,,Los Angeles,37.0,93100.0,South Bay Cities,60018.0,Redondo Beach city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0633,2970.0,Y,,1922 Artesia Blvd,,Redondo Beach,CA,90278.0,2908.0,,90278.0,22.0,1.0,90278290822.0,S,,,,0.0,,,,,100% Overall probable correctness,33.872607,-118.378596,S,,R,U,** Street-Level Rooftop **,06037,660018.0,6037620701.0,60376207011.0,660018.0,2020/08/24 16,57,41+00,5915429,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
4,1916,-118.07231100000001,33.915633,1916,CA118,Housing Authority of the City of Norwalk,5629295588,5629295537.0,sruiz@norwalkca.gov,5629295944.0,5629295584.0,sruiz@norwalkca.gov,,,705,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,647,647,91.78,0,705,624,96.44,0,0,0,0,7239198,6730897,0,0,1064,968,366,35.98,6.7,99.84,12974,6,Los Angeles,37.0,552301.0,1.0,1003.0,,,Los Angeles,37.0,90730.0,Downey-Norwalk,52526.0,Norwalk city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0638,2490.0,S,,12700 Norwalk Blvd,,Norwalk,CA,90650.0,3144.0,,90650.0,0.0,8.0,90650314400.0,S,,,,1.0,,,A,,90% Overall probable correctness,33.915633,-118.07231100000001,S,,R,U,** Street-Level Rooftop **,06037,652526.0,6037552301.0,60375523011.0,652526.0,2020/08/24 16,57,41+00,7457570,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
5,1917,-118.08840500000001,33.982046999999994,1917,CA117,Pico Rivera Housing Assistance Agency,5628014347,5629497506.0,idelgado@pico-rivera.org,5628014352.0,5629492717.0,idelgado@pico-rivera.org,,,517,MEDIUM HIGH (300-999),MEDIUM HIGH (300-999),6/30,Section 8,0,0,0,0,371,371,71.76,0,517,365,98.39,0,0,0,0,5284270,5293603,0,0,1199,1132,229,20.81,9.57,99.73,13284,6,Los Angeles,37.0,500800.0,4.0,4024.0,,,Los Angeles,37.0,93730.0,Whittier,56924.0,Pico Rivera city (part),C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0638,2766.0,Y,,6615 Passons Blvd,,Pico Rivera,CA,90660.0,3645.0,,90660.0,15.0,5.0,90660364515.0,S,,,,0.0,,,,,100% Overall probable correctness,33.982046999999994,-118.08840500000001,S,,R,U,** Street-Level Rooftop **,06037,656924.0,6037500800.0,60375008004.0,656924.0,2020/08/24 16,57,41+00,5161316,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
6,1918,-118.08201100000001,33.827651,1918,CA136,Housing Authority of the City of Hawaiian Gardens,5624202641,5624208521.0,gthomas@hgcity.org,5624202641.0,5624963708.0,gthomas@hgcity.org,,,132,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,107,107,81.06,0,132,94,87.85,0,0,0,0,1339021,1348732,0,0,915,878,64,30.54,7.88,100.0,12780,6,Los Angeles,37.0,555211.0,2.0,2000.0,,,Los Angeles,37.0,91730.0,Long Beach-Lakewood,32506.0,Hawaiian Gardens city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0638,1590.0,Y,,21815 Pioneer Blvd,,Hawaiian Gardens,CA,90716.0,1237.0,,90716.0,15.0,8.0,90716123715.0,S,,,,0.0,,,,,100% Overall probable correctness,33.827651,-118.08201100000001,S,,R,U,** Street-Level Rooftop **,06037,632506.0,6037555211.0,60375552112.0,632506.0,2020/08/24 16,57,41+00,1137609,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
7,1919,-118.319699,33.805008,1919,CA139,Housing Authority of the City of Lomita,3103257110,3103254024.0,g.sugano@lomitacity.com,3103257110.0,,r.smoot@lomitacity.com,Standard Performer,SMALL (50-99),0,VERY SMALL (0-49),SMALL (50-99),6/30,Low-Rent,78,78,78,75,0,75,96.15,2,78,71,94.67,139945,139945,153580,153580,0,0,0,0,326,331,0,86.59,9.76,100.0,12023,6,Los Angeles,37.0,670001.0,2.0,2000.0,,,Los Angeles,37.0,92360.0,Palos Verdes,42468.0,Lomita city (part),C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0643,2058.0,Y,,24300 Narbonne Ave,,Lomita,CA,90717.0,1131.0,,90717.0,0.0,0.0,90717113100.0,S,,,,0.0,,,,,100% Overall probable correctness,33.805008,-118.319699,S,,R,U,** Street-Level Rooftop **,06037,642468.0,6037670001.0,60376700012.0,642468.0,2020/08/24 16,57,41+00,293524,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
8,1940,-118.18584399999999,33.771874,1940,CA068,City of Long Beach Housing Authority,5625706153,5624991061.0,alison.king@longbeach.gov,5625706153.0,5624991061.0,Alison.King@longbeach.gov,,,7543,"EXTRA LARGE (5,000+)","EXTRA LARGE (5,000+)",9/30,Section 8,0,0,0,0,6754,6754,89.54,0,7543,6714,99.4,0,0,0,0,90552626,71721729,0,0,1218,1098,3572,24.15,16.07,99.66,12780,6,Los Angeles,37.0,576200.0,3.0,3001.0,,,Los Angeles,37.0,91730.0,Long Beach-Lakewood,43000.0,Long Beach city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0647,2088.0,Y,,521 E 4th St,,Long Beach,CA,90802.0,2502.0,,90802.0,21.0,9.0,90802250221.0,S,,,,0.0,,,,,100% Overall probable correctness,33.771874,-118.18584399999999,S,,R,U,** Street-Level Rooftop **,06037,643000.0,6037576200.0,60375762003.0,643000.0,2020/08/24 16,57,41+00,89063559,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
9,1941,-118.150783,34.157070000000004,1941,CA079,City of Pasadena Housing Department,6267446701,6267448330.0,,6267446701.0,6267448330.0,alansing@cityofpasadena.net,,,1409,"LARGE (1,000-4,999)","LARGE (1,000-4,999)",6/30,Section 8,0,0,0,0,1281,1281,90.91,0,1409,1200,93.68,0,0,0,0,14090251,13188184,0,0,984,950,291,44.75,16.19,99.58,11563,6,Los Angeles,37.0,461901.0,2.0,2000.0,,,Los Angeles,37.0,92400.0,Pasadena,56000.0,Pasadena city,C1,,4480.0,"Los Angeles-Long Beach, CA PMSA",31080.0,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",99999.0,,1.0,0.0,0627,2724.0,S,,649 N Fair Oaks Ave,,Pasadena,CA,91103.0,3383.0,,91103.0,49.0,6.0,91103338349.0,S,,,,1.0,,,A,,90% Overall probable correctness,34.157070000000004,-118.150783,S,,R,U,** Street-Level Rooftop **,06037,656000.0,6037461901.0,60374619012.0,656000.0,2020/08/24 16,57,41+00,14403902,0500000US06037,"Los Angeles County, California",1791480,6379,528626,4288,29.50778127581664,06037
