,OBJECTID,﻿X,Y,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,STD_CITY,COUNTY_LEVEL,Estimate Total,50 Percent or More,Margin of Error for 50 percent or more,Rent Burden Percent,COUNTY FIPS
0,1864,-118.2067,33.900609,CA071,City of Compton Housing Authority,Compton,06037,1791480,528626,4288,29.50778127581664,06037
1,1877,-118.396175,34.021315,CA110,Culver City Housing Authority,Culver City,06037,1791480,528626,4288,29.50778127581664,06037
2,1878,-118.353955,33.918389000000005,CA126,Hawthorne Housing,Hawthorne,06037,1791480,528626,4288,29.50778127581664,06037
3,1879,-118.378596,33.872607,CA103,Housing Authority of the City of Redondo Beach,Redondo Beach,06037,1791480,528626,4288,29.50778127581664,06037
4,1916,-118.07231100000001,33.915633,CA118,Housing Authority of the City of Norwalk,Norwalk,06037,1791480,528626,4288,29.50778127581664,06037
5,1917,-118.08840500000001,33.982046999999994,CA117,Pico Rivera Housing Assistance Agency,Pico Rivera,06037,1791480,528626,4288,29.50778127581664,06037
6,1918,-118.08201100000001,33.827651,CA136,Housing Authority of the City of Hawaiian Gardens,Hawaiian Gardens,06037,1791480,528626,4288,29.50778127581664,06037
7,1919,-118.319699,33.805008,CA139,Housing Authority of the City of Lomita,Lomita,06037,1791480,528626,4288,29.50778127581664,06037
8,1940,-118.18584399999999,33.771874,CA068,City of Long Beach Housing Authority,Long Beach,06037,1791480,528626,4288,29.50778127581664,06037
9,1941,-118.150783,34.157070000000004,CA079,City of Pasadena Housing Department,Pasadena,06037,1791480,528626,4288,29.50778127581664,06037
10,1942,-118.24705900000001,34.14712,CA114,Housing Authority of the City of Glendale,Glendale,06037,1791480,528626,4288,29.50778127581664,06037
11,1943,-118.90973500000001,34.187473,CA092,Housing Authority of the County of Ventura,Newbury Park,06111,99672,26642,1318,26.72967332851754,06111
12,1944,-118.30801699999999,34.182672,CA105,Housing Authority of the City of Burbank,Burbank,06037,1791480,528626,4288,29.50778127581664,06037
13,1945,-117.959861,34.085035,CA120,Housing Authority of the City of Baldwin Park,Baldwin Park,06037,1791480,528626,4288,29.50778127581664,06037
14,2010,-122.152432,38.0573,CA041,CITY OF BENICIA HSG AUTH,Benicia,06095,58647,15133,885,25.803536412774736,06095
15,2011,-122.04208100000001,38.250559,CA065,City of Fairfield,Fairfield,06095,58647,15133,885,25.803536412774736,06095
16,2012,-122.04179099999999,38.249053,CA131,COUNTY OF SOLANO HSG AUTH,Fairfield,06095,58647,15133,885,25.803536412774736,06095
17,2013,-122.08283300000001,37.667522999999996,CA067,Housing Authority of the County of Alameda,Hayward,06001,267736,62990,1462,23.526907102518898,06001
18,2014,-121.757791,37.68275,CA074,HSG AUTH OF THE CITY OF LIVERMORE,Livermore,06001,267736,62990,1462,23.526907102518898,06001
19,2033,-122.12814499999999,38.001931,CA011,Housing Authority of the County Contra Costa,Martinez,06013,134749,34047,1389,25.266977862544433,06013
20,2034,-122.291141,38.298254,CA073,HOUSING AUTHORITY OF THE CITY OF NAPA,Napa,06055,17776,4246,363,23.886138613861384,06055
21,2035,-121.884203,38.028573,CA060,CITY OF PITTSBURG HSG AUTH,Pittsburg,06013,134749,34047,1389,25.266977862544433,06013
22,2082,-119.79416499999999,36.737318,CA006,Housing Authority City of Fresno,Fresno,06019,143680,42103,1380,29.303312917594653,06019
23,2103,-119.79416499999999,36.737318,CA028,Housing Authority of Fresno County,Fresno,06019,143680,42103,1380,29.303312917594653,06019
24,2104,-121.661927,36.683769,CA033,Housing Authority of the County of Monterey,Salinas,06053,61690,14834,824,24.046036634786837,06053
25,2105,-122.26720300000001,37.521357,CA014,Housing Authority of the County of San Mateo,Belmont,06081,105105,25314,1124,24.084486941629798,06081
26,2106,-122.427773,37.650372999999995,CA015,City of South San Francisco Housing Authority,South San Francisco,06081,105105,25314,1124,24.084486941629798,06081
27,2107,-122.40008200000001,37.726815,CA001,Housing Authority of the City & County of SF,San Francisco,06075,224398,40916,1443,18.233674096917085,06075
28,2108,-122.275622,37.779955,CA062,CITY OF ALAMEDA HOUSING AUTHORITY,Alameda,06001,267736,62990,1462,23.526907102518898,06001
29,2125,-120.6913,35.6528,CA050,Housing Authority of the City of Paso Robles,Paso Robles,06079,41331,10865,619,26.287774309840074,06079
