rowid,﻿X,Y,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,SECTION8_UNITS_CNT,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,HA_FYE,HA_PROGRAM_TYPE,TOTAL_UNITS,TOTAL_DWELLING_UNITS,ACC_UNITS,PH_OCCUPIED,SECTION8_OCCUPIED,TOTAL_OCCUPIED,PCT_OCCUPIED,REGULAR_VACANT,PHA_TOTAL_UNITS,NUMBER_REPORTED,PCT_REPORTED,OPFUND_AMNT,OPFUND_AMNT_PREV_YR,CAPFUND_AMNT,CAPFUND_AMNT_PREV_YR,VCHR_AMNT,VCHR_AMNT_PREV_YR,ROSS_AMNT,FSS_AMNT,SPENDING_PER_MONTH,SPENDING_PER_MONTH_PREV_YR,CHLDRN_MBR_CNT,ELDLY_PRCNT,PCT_DISABLED_LT62_ALL,PCT_LT80_MEDIAN,MEDIAN_INC_AMNT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,DPVACT,DPVNOST,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,CBSA,CBSA_NM,NECTA,NECTA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PZRC,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,UGLG_KEY,LAST_UPDT_DTTM,ANNL_EXPNS_AMNT,ANNL_EXPNS_AMNT_PREV_YR,
1,-66.699048,18.266126,1,RQ033,Municipality of Utuado,7878145841,7878943689,utuadoha@yahoo.com,7878941040,7878940920,ernestoirizarry2013@gmail.com,,,197,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,194,194,98.48,0,197,183,94.33,0,0,0,0,983870,941908,0,0,448,474,175,7.16,1.39,98.91,2316,72,Utuado,141,957500,2,2009,,,Utuado,141,84552,Utuado,84509,Utuado zona urbana (part),U1,,9999,,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",99999,,1,0,7298,0420,D,,3 Calle Progreso,,Utuado,PR,00641,2976,,00641,99,7,00641297699,H,1SUD,,,3,,,N,,70% Overall probable correctness,18.266126,-66.699048,S,,R,U,** Street-Level Rooftop **,72141,7284509,72141957500,721419575002,72141,2020/08/24 16,57,41+00,1075522
2,-66.5609,18.3868,2,RQ072,MUNICIPALITY OF FLORIDA,7878223773,,gmfs8@yahoo.com,7878222600,7878221524,gmfs8@yahoo.com,,,45,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,45,45,100,0,45,51,100,0,0,0,0,266363,266564,0,0,573,560,53,7.3,6.57,100,2400,72,Florida,054,580100,,,,,Florida,54,28996,Florida Adentro,28824,Florida zona urbana,U1,,9999,,41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,FLORIDA,PR,00650,,,00650,,,,,,,S,,,,,S,Street not found,18.3868,-66.5609,5,S,T,R,**  Centroid Lat/Long   **,72054,7228824,72054580100,,72054,2020/08/24 16,57,41+00,295540
3,-66.9147,17.9708,3,RQ044,MUNICIPALITY OF GUANICA,7878212777,7878211358,profedguanica@yahoo.com,7878212777,7878211358,profedguanica@yahoo.com,,,54,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,42,42,77.78,0,54,49,100,0,0,0,0,226420,220902,0,0,436,456,53,2.92,5.11,95.92,2568,72,Guanica,055,961300,,,,,Guanica,55,31232,Guanica,31189,Guánica zona urbana (part),U1,,9999,,49500,"Yauco, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,GUANICA,PR,00653,,,00653,,,,,,,S,,,,,S,Street not found,17.9708,-66.9147,5,H,T,U,**  Centroid Lat/Long   **,72055,7231189,72055961300,,72055,2020/08/24 16,57,41+00,257265
4,-66.7904,18.0233,4,RQ021,MUNICIPALITY OF GUAYANILLA,7878352660,7878353008,seccion8@guayanillapr.net,7877178961,,seccion8@guayanillapr.net,,,146,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,111,111,76.03,0,146,112,100,0,0,0,0,978771,1018206,0,0,431,395,136,4.56,3.34,98.21,2748,72,Guayanilla,059,740300,,,,,Guayanilla,59,32350,Guayanilla,32307,Guayanilla zona urbana (part),U1,,9999,,49500,"Yauco, PR Metropolitan Statistical Area",99999,,1,0,7298,0180,,,,,GUAYANILLA,PR,00656,,,00656,,,,,,,S,,,,,S,Street not found,18.0233,-66.7904,5,S,T,U,**  Centroid Lat/Long   **,72059,7232307,72059740300,,72059,2020/08/24 16,57,41+00,564717
5,-66.788,18.4787,5,RQ039,MUNICIPALITY OF HATILLO,7878983840,7878982295,sec8hatillo@hotmail.com,7878983840,7878982037,sec8hatillo@hotmail.com,,,73,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,69,69,94.52,0,73,72,100,0,0,0,0,343229,331060,0,0,465,561,54,5.06,1.69,97.22,2474,72,Hatillo,065,310100,,,,,Hatillo,65,14677,Carrizales,14634,Carrizales comunidad,U1,,9999,,11640,"Arecibo, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,HATILLO,PR,00659,,,00659,,,,,,,S,,,,,S,Street not found,18.4787,-66.788,5,S,T,U,**  Centroid Lat/Long   **,72065,7214634,72065310100,,72065,2020/08/24 16,57,41+00,477629
6,-67.1087,18.1425,6,RQ035,MUNICIPALITY OF HORMIGUEROS,7878494071,7878491251,seccion8@hormiguerospr.com,7878491525,7878495566,pjgarcia@hormiguerospr.com,,,103,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,99,99,96.11,0,103,107,100,0,0,0,0,575278,596011,0,0,532,492,121,4.72,1.57,96.26,2600,72,Hormigueros,067,820100,,,,,Hormigueros,67,35075,Hormigueros,35059,Hormigueros zona urbana (part),U1,,9999,,32420,"Mayagüez, PR Metropolitan Statistical Area",99999,,1,0,7298,0204,,,,,HORMIGUEROS,PR,00660,,,00660,11,,,,,,S,,,,,S,Street not found,18.1425,-67.1087,5,H,T,U,**  Centroid Lat/Long   **,72067,7235059,72067820100,,72067,2020/08/24 16,57,41+00,578543
7,-67.022978,18.501303,7,RQ066,MUNICIPALITY OF ISABELA,7878722100,7878723400,isabelasec8@yahoo.com,7878722100,7878726300,isabelasec8@yahoo.com,,,86,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,83,83,96.51,0,86,86,100,0,0,0,0,404684,403331,0,0,441,426,96,5.15,3,98.84,2298,72,Isabela,071,410300,3,3009,,,Isabela,71,36521,Isabela,36478,Isabela zona urbana (part),U1,,9999,,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",99999,,1,0,7298,0216,Y,,75 Calle Corchado,,Isabela,PR,00662,2917,,00662,75,5,00662291775,S,,,,1,,,,,90% Overall probable correctness,18.501303,-67.022978,9,S,4,U,**  Centroid Lat/Long   **,72071,7236478,72071410300,720714103003,72071,2020/08/24 16,57,41+00,419090
8,-67.0592,18.0465,8,RQ071,MUNICIPALITY OF LAJAS,7878998181,7878998191,sec8eva_lajas@yahoo.com,7878991550,7878081350,municipiodelajas@hotmail.com,,,69,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,68,68,98.55,0,69,64,94.12,0,0,0,0,358548,319018,0,0,435,448,71,6.08,9.39,100,2757,72,Lajas,079,850200,,,,,Lajas,79,41036,Lajas,40950,Lajas zona urbana (part),U1,,9999,,41900,"San German, PR Metropolitan Statistical Area",99999,,1,0,7298,0240,,,,,LAJAS,PR,00667,,,00667,,,,,,,S,,,,,S,Street not found,18.0465,-67.0592,5,S,T,U,**  Centroid Lat/Long   **,72079,7240950,72079850200,,72079,2020/08/24 16,57,41+00,365423
9,-66.8759,18.293,9,RQ065,MUNICIPALITY OF LARES,7878972300,7878975865,fedproglares@yahoo.com,7878975858,7878975865,fedprogtruiz@gmail.com,,,73,SMALL (50-99),SMALL (50-99),6/30,Section 8,0,0,0,0,57,57,78.08,0,73,56,98.24,0,0,0,0,254704,225750,0,0,355,361,48,10.49,3.5,100,3333,72,Lares,081,958100,,,,,Lares,81,42584,Lares,42498,Lares zona urbana (part),U1,,9999,,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area",99999,,1,0,7298,0246,,,,,LARES,PR,00669,,,00669,,,,,,,S,,,,,S,Street not found,18.293,-66.8759,5,S,T,U,**  Centroid Lat/Long   **,72081,7242498,72081958100,,72081,2020/08/24 16,57,41+00,272879
10,-66.9884,18.2618,10,RQ046,MUNICIPALITY OF LAS MARIAS,7878272280,7878272021,aponte.luis47@gmail.com,7878272385,,pfederales.lm@gmail.com,,,40,VERY SMALL (0-49),VERY SMALL (0-49),6/30,Section 8,0,0,0,0,40,40,100,0,40,47,100,0,0,0,0,144432,142098,0,0,461,434,48,8.09,2.21,97.87,2692,72,Las Marias,083,959800,,,,,Las Marias,83,43831,Las Marias,43788,Las Marías zona urbana (part),U1,,9999,,32420,"Mayagüez, PR Metropolitan Statistical Area",99999,,1,0,7298,,,,,,LAS MARIAS,PR,00670,,,00670,,,,,,,H,,,,,H,House # not found on this street,18.2618,-66.9884,5,H,T,R,**  Centroid Lat/Long   **,72083,7243788,72083959800,,72083,2020/08/24 16,57,41+00,208336
11,-66.493197,18.427606,11,RQ028,MUNICIPALITY OF MANATI,7878542024,7878542434,ddcv-manati@hotmail.com,7878542024,7878542274,rq028manati@gmail.com,,,182,MEDIUM LOW (100-299),MEDIUM LOW (100-299),6/30,Section 8,0,0,0,0,178,178,97.8,0,182,181,100,0,0,0,0,1025831,1021436,0,0,522,547,188,10.52,3,100,3988,72,Manati,091,570300,4,4008,,,Manati,91,50195,Manati,50152,Manatí zona urbana (part),U1,,7440,"San Juan-Bayamon, PR PMSA",41980,"San Juan-Bayamsn-Caguas, PR Metropolitan Statistical Area",99999,,1,0,7298,0276,Y,,10 Calle Quinones,,Manati,PR,00674,5013,,00674,10,3,00674501310,S,,,,0,,,,,100% Overall probable correctness,18.427606,-66.493197,S,,R,U,** Street-Level Rooftop **,72091,7250152,72091570300,720915703004,72091,2020/08/24 16,57,41+00,1168218
