,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
0,The Kasper Group - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9199, 9/29/2020, 2020-0253, Stuart Goldberg, Temporary Plant Layoff/Plant Layoff,"The Kasper Group 1412 Broadway New York, NY 10018", New York , NEW YORK CITY , New York City," Andrew Poulin, Senior Vice-President, Human Resources", (212) 536-4687, A trusted portfolio of global fashion brands, 40, ----, Furloughs than began on 3/29/2020 for 30 employees will exceed six months. Furloughs that began on 3/29/2020 for 10 employees will become permanent separations on 9/29/2020., ----, Unforeseeable business circumstances prompted by COVID-19., ----, Union Local 89-22-1, Temporary Plant Layoff/Plant Layoff,
1,Company 3/Method Inc. f/k/a Deluxe Creative Services Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9192, 4/22/2020                            Amendment: 9/24/2020, 2019-1484, Stuart Goldberg, Furloughs/Plant Layoff,"Company:3/Method Inc. f/k/a Deluxe Creative Services Inc.44 West 18th Street New York, NY 10011", New York , NEW YORK CITY , New York City," Louis Brahms, Manager, Human Resources", (747) 400-7986, Visual Effects and Post Production Services, 25, -----, Additional furloughs and reduction in hours have been extended for some employees. Two (2) employees will be permanently separated effective 10/2/2020., -----, Unforeseeable business circumstances prompted by COVID-19., 95-3034570, The employees are not represented by a union., Temporary Plant Layoff,                           Amendment: 9/24/2020
2,Cantor Fitzgerald Securities (Operations Division) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9213, 6/5/2020                      Amendment: 10/1/2020," 2019-1768 , 2019-1769, 2019-1770", Stuart Goldberg, Plant Unit Closing,Cantor Fitzgerald Securities (Operations Division), New York , NEW YORK CITY , New York City," Ms. Patricia Dreste, Managing Director, Head of Human Resources", (212) 610-2254, Commodity Contracts Brokerage, 55 (total affected employees at all sites), 55," Separations will occur beginning on or within 14 days after September 3, 2020 and it is currently anticipated that they will continue through on or around December 31, 2020."," December 31, 2020", Company:is relocating to an out-of-state location, 13-3680187, The employees are not represented by a union., Plant Unit Closing,                     Amendment: 10/1/2020
3,Flightline Electronics Inc. dba Ultra Electronics Flightline Systems - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=9197, 9/25/2020, 2020-0250, Regenna Darrah, Plant Layoff,"Flightline Electronics Inc. dba Ultra Electronics Flightline Systems 7625 Omnitech Place Victor, NY 14564", Ontario , FINGER LAKES , Finger Lakes," Betty Kunard, Human Resources Director", (260) 248-3562, Aerospace equipment, 23, ----, Permanent Plant Layoff effective 12/31/2020 impacting 23 employees., ----, Corporate reorganization and sale of the Aircraft Instrument product lines., 16-1363257, The employees are not represented by a union., Plant Layoff,
4,"Catholic Charities Neighborhood Services, Inc. - Cabrini Regional Grant Youth Employment Program - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9209, 9/25/2020, 2020-0260, Stuart Goldberg, Plant Layoff,"Catholic Charities Neighborhood Services, Inc. - Cabrini Regional Grant Youth Employment Program 918 27th Avenue Astoria, NY 11102", Queens , NEW YORK CITY , New York City," Jacqueline Gibbons, Senior Vice President of Human Resources", (718) 722-6181, Health Center, 3, ----, Permanent Plant Layoff effective 12/31/2020 impacting three employees., ----, Lack of funding, 11-2047151, The employees are not represented by a union., Plant Layoff,
5,Company 3/Method Inc. f/k/a Deluxe Creative Services Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9193, 4/23/2020                           Amendment: 9/24/2020, 2019-1485, Stuart Goldberg, Furloughs/Plant Layoff,"Company:3/Method Inc. f/k/a Deluxe Creative Services Inc.218 West 18th StreetNew York, NY 10011", New York , NEW YORK CITY , New York City," Louis Brahms, Manager, Human Resources", (747) 400-7986, Visual Effects and Post Production Services, 75, -----, Additional furloughs and reduction in hours have been extended for some employees. Six (6) employees will be permanently separated effective 10/2/2020., -----, Unforeseeable business circumstances prompted by COVID-19, 95-3034570, The employees are not represented by a union., Furloughs/Plant Layoff,                          Amendment: 9/24/2020
6,"Alclear, LLC dba CLEAR (JFK & LaGuardia) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9205, 9/28/2020, 2020-0256, Stuart Goldberg, Temporary Plant Layoff,"Alclear, LLC dba CLEAR (JFK & LaGuardia)", Queens , NEW YORK CITY , New York City," Natalie Coffman, Regional People Director", (646) 847-0056, Biometric security firm, 142 (total employees at both sites), ----, Employee furloughs began on or about 3/30/2020 and are expected to exceed six months., ----, Unforeseeable business circumstances prompted by COVID-19., 27-1733425, The employees are not represented by a union., Temporary Plant Layoff,
7,"Somos Healthcare Providers, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9208, 3/24/2020                            Amendment: 9/25/2020, 2019-0706, Stuart Goldberg, Plant Layoff,"Somos Healthcare Providers, Inc. 519 Eighth Ave, 14th Floor New York, NY 10018", New York , NEW YORK CITY , New York City," Liz Webb, VP of Human Resources", (516) 642-4068, Healthcare, 101, -----, All 101 employees remaining on site will be separated on or before 12/31/2020., -----, Company:Reorganization, -----, The employees are not represented by a union., Plant Layoff,                           Amendment: 9/25/2020
8,"Aramark Educational Services, LLC at College of St. Rose - Capital Region",https://labor.ny.gov/app/warn/details.asp?id=9202, 9/25/2020, 2020-0258, Jacqueline Huertas, Plant Closing,"Aramark Educational Services, LLC at College of St. Rose 420 Western Avenue Albany, NY 12203", Albany , CAPITAL DISTRICT , Capital," Corey Crapella, Human Resources Director", (610) 331-7865, Food Services, 66, ----, Aramark was advised by the College that their contract to provide food services would not be renewed. This will impact 66 employees effective 12/4/2020., 12/4/2020, Contract loss, 38-3972560, Rochester Regional Joint Board, Plant Closing,
9,Restaurant Associates - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9198, 9/21/2020, 2020-0254, Stuart Goldberg, Plant Layoff,"Restaurant Associates 8 East 50th St. New York, NY 10022", New York , NEW YORK CITY , New York City," Adele LeGault, VP of Operations, Restaurant Services", (617) 319-6400, Food Services, 106, ----, A total of 106 employees that were previously furloughed on 3/17/2020 will be permanently separated effective 10/1/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
10,"Marriott Ownership Resorts, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9194, 9/2/2020                            Amendment: 9/25/2020, 2020-0192, Stuart Goldberg, Plant Layoff,"Marriott Ownership Resorts, Inc. 1010 Ave of the Americas, 2nd Floor New York, NY 10018", New York , NEW YORK CITY , New York City," Randal Jacobs, Associate Vice President Human Resources", (614) 338-5851, Hotel/Resort, 58, ----, The number of impacted employees due to layoffs or extended furloughs on 12/11/2020 and 1/22/2021 respectively is now 58 rather than 63., ----, Unforeseeable business circumstances prompted by COVID-19., 52-1320904, The employees are not represented by a union., Plant Layoff,                           Amendment: 9/25/2020
11,"Tioga Downs Racetrack, LLC - Southern Region",https://labor.ny.gov/app/warn/details.asp?id=9203, 7/13/2020                            Amendment: 9/24/2020, 2020-0020, Vikki Kaufman, Temporary Plant Closing,"Tioga Downs Racetrack, LLC 2384 West River Road Nichols, NY 13812", Tioga , BROOME/TIOGA , Southern," Karen Shelp, Director of Human Resources", (607) 699-7589, Racetrack, 604, 604," The termination of 176 employees that were expected to occur on 10/31/2020 will be delayed. Should circumstances not allow the Company:to return them to work by 11/27/2020, their employment will terminate at that time.", 3/16/2020, Unforeseeable business circumstances prompted by COVID-19., 20-1280492, RRJB Local #195, Temporary Plant Closing,                           Amendment: 9/24/2020
12,American Technical Ceramics Corp. (Phase 6) - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=9195, 9/29/2020, 2020-0252, Frederick Danks, Plant Closing,"v One Norden Lane Huntington Station, NY 11746", Suffolk , SUFFOLK , Long Island," Karen Smith, Senior Vice President Global HR", (864) 228-8990, Manufacturer of capacitors, 44, ----, Phase six of plant closing impacting 44 employees with separations expected to occur during the 14-day period starting on 12/31/2020., 12/31/2020, Economic, 11-2113382, The employees are not represented by a union., Plant Closing,
13,"New York Hotel Trades Council & Hotel Association of New York City, Inc. Employee Benefit Funds (at six NYC health centers) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9206, 8/21/2020, 2020-0257, Stuart Goldberg, Plant Closing/Plant Layoff,"New York Hotel Trades Council & Hotel Association of New York City, Inc. Employee Benefit Funds (at six NYC health centers)", New York , NEW YORK CITY , New York City," William Torres, Chief Human Resources Officer", (212) 586-6400, Health Centers, 642, ----, 12/31/2020, 12/31/2020, Unforeseeable business circumstances prompted by COVID-19., 13-1595091, O.P.E.1.U. Local 153, Plant Closing/Plant Layoff,
14,"MSG Entertainment Group, LLC and its affiliates MSG Arena, LLC; and Radio City Productions LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9211, 8/4/2020                            Amendment: 9/29/2020, 2020-0093, Stuart Goldberg, Plant Layoff/Temporary Plant Layoff,"MSG Entertainment Group, LLC and its affiliates MSG Arena, LLC; and Radio City Productions LLC6 NYC locations", New York , NEW YORK CITY , New York City," Lainie Doherty, SVP People Practices", (212) 465-6127, Convention Center," 2,083", ----," The temporary layoffs for 1,735 employees that began in April is expected to last for more than six months. These are in addition to the 348 that were permanently separated effective 8/7/2020. This also now includes their affiliate, MSG Arena, LLC.", ----, Unforeseeable business circumstances prompted by COVID-19., 36-4811028," District Council 9 IB Painters & Allied Trades, International Brotherhood of Electrical Workers Local 3, International Union of Operating Engineers Local 30, Licensed Ushers & Ticket Takers, Local 1 International Association of Theatrical Stage Employees, Local 32BJ, S.E.I.U., Local 751 Treasurers & Ticket Sellers Union, Office & Professional Employees International Union, Local 153, AFL-CIO, Special Officers & Guards, SEIU Local 177, Theatrical Teamsters Local 817, Theatrical Wardrobe Union Local 764 I.A.T.S.E., UNITE HERE Local 100, United Brotherhood of Carpenters and Joiners of America.", Plant Layoff/Temporary Plant Layoff,                           Amendment: 9/29/2020
15,"Compass Group USA, Inc. dba Flik Hospitality - Mid-Hudson Region",https://labor.ny.gov/app/warn/details.asp?id=9196, 9/16/2020, 2020-0251, Elias Flores, Plant Layoff,"Compass Group USA, Inc. dba Flik Hospitality 20 Old Post Rd Armonk, NY 10504", Westchester , WESTCH/PTNM , Mid-Hudson," Sean Sands, Regional Director of Operations", (217) 870-0533, Food Services, 76, ----, Furloughs which began on 3/23/2020 for 76 employees will become permanent separations on 9/30/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
16,Pret A Manger (USA) Ltd. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9207, 7/17/2020                        Amendment: 9/11/2020 & 9/28/2020, 2020-0050, Stuart Goldberg, Plant Closing/Temporary Plant Closing,Pret A Manger (USA) Ltd. Multiple Locations, New York , NEW YORK CITY , New York City," Andy McKewan, VP People", (917) 580-0183, Restaurant, 875, ----, Furloughs that began on 4/3/2020 for 797 employees will be extended and lasting more than six months., 3/19/2020, Unforeseeable business circumstances prompted by COVID-19., 52-2191416, The employees are not represented by a union., Plant Closing/Temporary Plant Closing,                       Amendment: 9/11/2020 & 9/28/2020
17,Calexico Restaurants (4 NYC sites) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9200, 9/24/2020, 2020-0249, Stuart Goldberg, Plant Layoff,Calexico Restaurants (4 NYC sites), Kings/New York , NEW YORK CITY , New York City," Rick DeMarco, COO", (310) 991-3052, Restaurants, 82, ----, Temporary layoffs that began on 3/17/2020 will become permanent layoffs extending beyond six months, ----, Unforeseeable business circumstances prompted by COVID-19.," 51-0564696, 45-5462723, 45-4544247, 45-4544247, 82-4560623", The employees are not represented by a union., Plant Layoff,
18,"TKNYC, LLC dba Bouchon Bakery & Cafe, Time Warner Center - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9204, 9/21/2020, 2020-0255, Stuart Goldberg, Plant Closing,"TKNYC, LLC dba Bouchon Bakery & Cafe, Time Warner Center 10 Columbus Circle New York, NY 10019", New York , NEW YORK CITY , New York City," Julie Secviar, Director of Human Resources", (707) 754-4192, Restaurant, 57, ----, Employees will be permanently separated effective 9/23/2020. The Café has been closed since 3/17/2020., 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 13-4186732, The employees are not represented by a union., Plant Closing,
19,"Century 21 Department Stores, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9201, 6/9/2020              Amendment: 9/29/2020, 2019-1785 thru 2019-1790, Stuart Goldberg, Plant Closing,"Century 21 Department Stores, LLC New York City Region", New York/Kings/Queens , NEW YORK CITY , New York City," Cara Muraco, Director of Human Resources", (212) 227-9092, Retail Store, 599, 599 (Total employees at New York City Region sites)," The stores and corporate offices will be permanently closing on 11/22/2020 impacting 599 employees. Employees at the stores will be permanently separated on 9/11/2020 and 11/22/2020 and employees at the Corporate offices will be permanently separated on 9/11/2020, 9/29/2020, 10/15/2020 and 11/22/2020. The Lincoln Square Store will be closing to the public on or about 10/5/2020 and all active employees will be permanently separated on or about 10/9/2020 rather than on 11/22/2020.", -----, Unforeseeable business circumstances prompted by COVID-19., 13-4144073," United Food and Commercial Workers Union, Local 888", Plant Closing,             Amendment: 9/29/2020
20,"Catholic Charities Neighborhood Services, Inc. - Cabrini Geriatric Health & Wellness Program - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9210, 9/25/2020, 2020-0259, Stuart Goldberg, Plant Layoff,"Catholic Charities Neighborhood Services, Inc. - Cabrini Geriatric Health & Wellness Program 6823 Fifth Avenue, 2nd Floor Brooklyn, NY 11220", Kings , NEW YORK CITY , New York City," Jacqueline Gibbons, Senior Vice President of Human Resources", (718) 722-6181, Health Center, 6, ----, Permanent Plant Layoff effective 12/31/2020 impacting six employees., ----, Lack of funding, 11-2047151, The employees are not represented by a union., Plant Layoff,
0,Victoria's Secret (Atlantic Terminal location) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9171, 9/4/2020, 2020-0242, Stuart Goldberg, Temporary Plant Layoff,"Victoria's Secret (Atlantic Terminal location) 139 Flatbush Ave. Brooklyn, NY 11217", Kings , NEW YORK CITY , New York City," Kendal Kalata, Vice President Human Resources", (614) 577-6467, Retail, 47, ----, Furloughs that began on 4/5/2020 will exceed six months., ----, Unforeseeable business circumstances prompted by COVID-19., 54-2170171, The employees are not represented by a union., Temporary Plant Layoff,
1,P.F. Chang's China Bistro - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=9179, 9/4/2020, 2020-0233, Elias Flores, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 125 Westchester Ave White Plains, NY 10601", Westchester , WESTCH/PTNM , Mid-Hudson," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 52, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
2,"Compass Group USA, Inc. dba Flik Hospitality - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9162, 9/17/2020, 2020-0226, Stuart Goldberg, Plant Layoff,"Compass Group USA, Inc. dba Flik Hospitality One Manhattan West New York, NY 10001", New York , NEW YORK CITY , New York City," Evan Laspina, District Manager FLIK", (516) 236-1932, Food Service, 45, ----, Furloughs which began in March 2020 for 45 employees will become permanent separations on 9/30/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
3,P.F. Chang's China Bistro - Finger Lakes Region,https://labor.ny.gov/app/warn/details.asp?id=9172, 9/4/2020, 2020-0241, Regenna Darrah, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 820 Eastview Mall Victor, NY 14564", Ontario , FINGER LAKES , Finger Lakes," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 81, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
4,"84 William Street JV, LLC dba AKA Wall Street - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9184, 3/27/2020                           Amendment: 8/24/2020, 2019-0753, Stuart Goldberg, Plant Closing,"84 William Street JV, LLC dba AKA Wall Street 84 William Street New York, NY 10038", New York , NEW YORK CITY , New York City," Kathleen Ragg, Executive Vice President", (484) 351-2006, Hotel, 31, 31, 3/30/2020 - The temporary closing of the hotel on 3/30/2020 is now a permanent closing effective 8/24/2020., 3/30/2020, Unforeseeable business circumstances prompted by COVID-19, 23-2827661," New York Hotel & Motel Trades Council, AFL-CIO", Plant Closing,                          Amendment: 8/24/2020
5,New York Athletic Club - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9169, 9/18/2020, 2020-0231, Stuart Goldberg, Temporary Plant Layoff,"New York Athletic Club 180 Central Park South New York, NY 10019", New York , NEW YORK CITY , New York City," Andrew Halper, Director of Human Resources", (212) 767-7070, Athletic Club, 257, ----, Furloughs that began on 3/21/2020 will extend beyond six months., ----, Unforeseeable business circumstances prompted by COVID-19., 13-1096640," Local 6, UNITE-HERE", Temporary Plant Layoff,
6,SP+ (at Buffalo Niagara International Airport) - Western Region,https://labor.ny.gov/app/warn/details.asp?id=9190, 9/24/2020, 2020-0248, Michele Taylor, Plant Layoff,"SP+ (at Buffalo Niagara International Airport) 4200 Genesee Street Buffalo, NY 14225", Erie , ERIE , Western," Colleen Kozak, Vice President of Human Resources", (312) 274-2000, Parking garage, 90, ----, Temporary layoffs that occurred between 3/28/2020 and 5/16/2020 for 90 employees have become permanent separations effective 9/24/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 15-1171179, Teamsters Local 264, Plant Layoff,
7,P.F. Chang's China Bistro - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=9175, 9/4/2020, 2020-0235, Frederick Danks, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 476 Smith Haven Mall Lake Grove, NY 11755", Suffolk , SUFFOLK , Long Island," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 63, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
8,Alamo Drafthouse LLC - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9187, 9/25/2020, 2020-0244, Stuart Goldberg, Temporary Plant Layoff,"Alamo Drafthouse LLC 445 Gold Street Brooklyn, NY 11201", Kings , NEW YORK CITY , New York City," Jamie Thorpe, Vice President, People", (405) 323-5603, Operates movie theaters, 196, ----, Furlough that began on 3/13/2020 will exceed six months., ----, Unforeseeable business circumstances prompted by COVID-19., 27-2425717, The employees are not represented by a union., Temporary Plant Layoff,
9,"Compass Group USA, Inc. dba Flik Hospitality - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9165, 9/17/2020, 2020-0228, Stuart Goldberg, Plant Layoff,"Compass Group USA, Inc. dba Flik Hospitality 601 Lexington Avenue New York, NY 10022", New York , NEW YORK CITY , New York City," Evan Lapina, District Manager FLIK", (516) 236-1932, Food Service, 42, ----, Furloughs which began in March 2020 for 42 employees will become permanent separations on 9/30/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
10,P.F. Chang's China Bistro - Central Region,https://labor.ny.gov/app/warn/details.asp?id=9173, 9/4/2020, 2020-0237, Karl Price, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 306 Hiawatha Blvd. W, Space H-111 Syracuse, NY 13204", Onondaga , ONONDAGA , Central," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 68, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
11,"85 W Broadway JV LLC, dba AKA Tribeca - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9183, 3/27/2020                            Amendment: 9/22/2020, 2019-0754, Stuart Goldberg, Temporary Plant Closing,"85 W Broadway JV LLC, dba AKA Tribeca85 W. Broadway New York, NY 10007", New York , NEW YORK CITY , New York City," Kathleen Ragg, Executive Vice President", (484) 351-2006, Hotel, 27, -----, 3/27/2020 - The hotel continues to temporarily cease operations and all 27 employees continue to be temporarily laid off., 3/27/2020, Unforeseeable business circumstances prompted by COVID-19, 23-2827661, The employees are not represented by a union, Temporary Plant Closing,                           Amendment: 9/22/2020
12,"Sodexo, Inc. (at OAS at SUNY Oneonta) - Southern Region",https://labor.ny.gov/app/warn/details.asp?id=9182, 9/18/2020, 2020-0246, Vikki Kaufman, Plant Layoff,"Sodexo, Inc. (at OAS at SUNY Oneonta) 215 Hunt Union, 81 Ravine Parkway Oneonta, NY 13820", Otsego , CDO , Southern," Curtis Stancil, Human Resources Business Partner Director University Segment Northeast Region", (860) 546-6547, Food Services, 71, ----, 9/30/2020, ----, Unforeseeable business circumstances prompted by COVID-19, 52-2282043, International Brotherhood of Teamsters Local 317, Plant Layoff,
13,P.F. Chang's China Bistro - Western Region,https://labor.ny.gov/app/warn/details.asp?id=9174, 9/4/2020, 2020-0236, Michele Taylor, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 1 Galleria Drive Buffalo, NY 14225", Erie , ERIE , Western," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 64, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
14,"Paradigm Talent Agency, LLC - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9170, 9/17/2020, 2020-0243, Stuart Goldberg, Plant Layoff,"Paradigm Talent Agency, LLC 140 Broadway, 26th Floor New York, NY 10005", New York , NEW YORK CITY , New York City," Craig Wagner, Executive Vice President, Business Affairs", (310) 288-8000, Talent Agency, 53, ----, Temporary layoffs that began in March 2020 for 53 employees will become permanent separations on 12/15/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 46-4242886, The employees are not represented by a union., Plant Layoff,
15,P.F. Chang's China Bistro - Capital Region,https://labor.ny.gov/app/warn/details.asp?id=9177, 9/4/2020, 2020-0234, Jacqueline Huertas, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 131 Colonie Center Albany, NY 12205", Albany , CAPITAL DISTRICT , Capital," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 45, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
16,Aramark (at Credit Suisse - Lifeworks) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9186, 9/18/2020, 2020-0247, Stuart Goldberg, Temporary Plant Layoff,"Aramark (at Credit Suisse - Lifeworks) 11 Madison Avenue New York, NY 10010", Kings , NEW YORK CITY , New York City," lldiko Agoston, Human Resources Director", (571) 282-9125, Offers great dining services, 52, ----, Fifty-two (52) employees will be temporarily separated effective 10/31/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 95-2051630, UNITE HERE Local 100, Temporary Plant Layoff,
17,P.F. Chang's China Bistro - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=9178, 9/4/2020, 2020-0239, Elias Flores, Temporary Plant Closing/Temporary Plant Layoff,"P.F. Chang's China Bistro 1125 Fashion Drive Nanuet, NY 10954", Rockland , ROCKLAND , Mid-Hudson," Ken Bellefeuille, Human Resources Business Partner", (480) 888-3776, Restaurant, 72, ----," The temporary reduction in operations, which began in March 2020, will exceed six months.", 3/17/2020, Unforeseeable business circumstances prompted by COVID-19., 86-0815086, The employees are not represented by a union., Temporary Plant Closing/Temporary Plant Layoff,
18,"Compass Group USA, Inc. dba Flik Hospitality - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=9166, 9/17/2020, 2020-0229, Stuart Goldberg, Plant Layoff,"Compass Group USA, Inc. dba Flik Hospitality 1 Liberty Place New York, NY 10006", New York , NEW YORK CITY , New York City," Elizabeth Mesagno, Food Service Director", (646) 319-3815, Food Service, 40, ----, Furloughs which began in March 2020 for 40 employees will become permanent separations on 9/30/2020., ----, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, The employees are not represented by a union., Plant Layoff,
19,Restaurant Associates - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=9168, 9/21/2020, 2020-0232, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"Restaurant Associates 620 8th Avenue New York, NY 10018", New York , NEW YORK CITY , New York City," Matt Wallace, General Manager", (646) 652-9137, Dining Management, 39, 39, Separations for 39 employees will become permanent effective 9/25/2020., 5/31/2020, Unforeseeable business circumstances prompted by COVID-19., 56-1874931, UNITE HERE Local 100, Temporary Plant Closing/Plant Layoff,
20,ViacomCBS Inc. (and its subsidiaries) - New York City Region / Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=9181, 1/15/2020 Amendment: 9/23/2020, 2019-0232, Stuart Goldberg and Frederick Danks, Plant Layoff, ViacomCBS Inc. (and its subsidiaries), New York , NEW YORK CITY , Long Island," Patrick Bynum, SVP, Human Resources", (310) 752-8005, Viacom operates as an entertainment media company that offers television programs and motion pictures., 711 (total affected employees for all sites), -----, This update will impact an additional 25 employees at several ViacomCBS Inc. entity sites in New York City. Employee separations began on 4/15/2020 and will continue until 1/31/2021. 12/25/2020 (8); 12/26/2020 (5); 12/31/2020 (3); and 1/31/2020 (9), -----, Economic, 04-2949533, The employees are not represented by a union., Plant Layoff,Amendment: 9/23/2020
