Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure,company standardization first pass,Corporate Affiliation,DBA Name,County Orig,Year,Layoff/Closure clean,Population,City 2
06/09/2020,06/07/2020,07/01/2020,Bay Club Redondo Beach,Redondo Beach,Los Angeles County,102.0,Layoff Permanent,BAY CLUB,BAY CLUB,BAY CLUB,Los Angeles County,2020,layoff permanent,10039107.0,redondo beach
06/09/2020,06/07/2020,07/01/2020,Bay Club Rolling Hills,Rolling Hills Estates,Los Angeles County,64.0,Layoff Permanent,BAY CLUB ROLLING HILLS,BAY CLUB,BAY CLUB ROLLING HILLS,Los Angeles County,2020,layoff permanent,10039107.0,rolling hills estates
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Monica,Santa Monica,Los Angeles County,82.0,Layoff Permanent,BAY CLUB SANTA MONICA,BAY CLUB,BAY CLUB SANTA MONICA,Los Angeles County,2020,layoff permanent,10039107.0,santa monica
06/19/2020,08/21/2020,07/01/2020,"Weber Metals, Inc",Paramount,Los Angeles County,169.0,Layoff Permanent,WEBER METALS INC,WEBER METALS INC,WEBER METALS INC,Los Angeles County,2020,layoff permanent,10039107.0,paramount
06/09/2020,06/07/2020,07/01/2020,StoneTree Golf Club,Novato,Marin County,32.0,Layoff Permanent,STONETREE GOLF CLUB,STONETREE GOLF CLUB,STONETREE GOLF CLUB,Marin County,2020,layoff permanent,258826.0,novato
06/09/2020,06/07/2020,07/01/2020,Bay Club Ross Valley,Kentfield,Marin County,51.0,Layoff Permanent,BAY CLUB ROSS VALLEY,BAY CLUB,BAY CLUB ROSS VALLEY,Marin County,2020,layoff permanent,258826.0,kentfield
06/23/2020,06/23/2020,07/01/2020,The Freeman Company LLC,Anaheim,Orange County,29.0,Layoff Permanent,THE FREEMAN COMPANY LLC,THE FREEMAN COMPANY LLC,THE FREEMAN COMPANY LLC,Orange County,2020,layoff permanent,3175692.0,anaheim
06/18/2020,03/20/2020,07/01/2020,Hyatt Regency Sacramento,Sacramento,Sacramento County,203.0,Layoff Permanent,HYATT REGENCY SACRAMENTO,HYATT,HYATT REGENCY SACRAMENTO,Sacramento County,2020,layoff permanent,1552058.0,sacramento
06/18/2020,06/17/2020,07/01/2020,"Granite Summit, Inc",Running Springs,San Bernardino County,60.0,Layoff Type Unknown,GRANITE SUMMIT INC,GRANITE SUMMIT INC,GRANITE SUMMIT INC,San Bernardino County,2020,layoff type uncategorized,2180085.0,running springs
06/18/2020,06/17/2020,07/01/2020,Pali Camp,Running Springs,San Bernardino County,71.0,Layoff Type Unknown,PALI CAMP,PALI CAMP,PALI CAMP,San Bernardino County,2020,layoff type uncategorized,2180085.0,running springs
06/18/2020,06/17/2020,07/01/2020,"Pali Institute, Inc",Running Springs,San Bernardino County,35.0,Layoff Type Unknown,PALI INSTITUTE INC,PALI INSTITUTE INC,PALI INSTITUTE INC,San Bernardino County,2020,layoff type uncategorized,2180085.0,running springs
06/18/2020,06/17/2020,07/01/2020,"Pali Mountain Conference Center, Inc",Running Springs,San Bernardino County,17.0,Layoff Type Unknown,PALI MOUNTAIN CONFERENCE CENTER INC,PALI MOUNTAIN CONFERENCE CENTER INC,PALI MOUNTAIN CONFERENCE CENTER INC,San Bernardino County,2020,layoff type uncategorized,2180085.0,running springs
06/09/2020,06/07/2020,07/01/2020,Bay Club SF Tennis,San Francisco,San Francisco County,64.0,Layoff Permanent,BAY CLUB,BAY CLUB,BAY CLUB,San Francisco County,2020,layoff permanent,881549.0,san francisco
06/09/2020,06/07/2020,07/01/2020,Bay Club San Francisco,San Francisco,San Francisco County,146.0,Layoff Permanent,BAY CLUB SAN FRANCISCO,BAY CLUB,BAY CLUB SAN FRANCISCO,San Francisco County,2020,layoff permanent,881549.0,san francisco
06/09/2020,06/07/2020,07/01/2020,Bay Club Redwood Shores,Redwood City,San Mateo County,298.0,Layoff Permanent,BAY CLUB,BAY CLUB,BAY CLUB,San Mateo County,2020,layoff permanent,766573.0,redwood city
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Clara,Santa Clara,Santa Clara County,182.0,Layoff Permanent,BAY CLUB SANTA CLARA,BAY CLUB,BAY CLUB SANTA CLARA,Santa Clara County,2020,layoff permanent,1927852.0,santa clara
06/16/2020,06/22/2020,07/01/2020,Eaton Corporation,Camarillo,Ventura County,61.0,Layoff Temporary,EATON CORPORATION,EATON CORPORATION,EATON CORPORATION,Ventura County,2020,layoff temporary,846006.0,camarillo
06/26/2020,08/28/2020,07/01/2020,Boeing Edwards AFB RIF,Edwards,Kern County,6.0,Layoff Permanent,BOEING EDWARDS AFB RIF,BOEING,BOEING EDWARDS AFB RIF,Kern County,2020,layoff permanent,900202.0,edwards
06/26/2020,08/28/2020,07/01/2020,Boeing El Segundo RIF,El Segundo,Los Angeles County,3.0,Layoff Permanent,BOEING EL SEGUNDO RIF,BOEING,BOEING EL SEGUNDO RIF,Los Angeles County,2020,layoff permanent,10039107.0,el segundo
06/26/2020,08/28/2020,07/01/2020,Boeing Long Beach RIF,Long Beach,Los Angeles County,19.0,Layoff Permanent,BOEING LONG BEACH RIF,BOEING,BOEING LONG BEACH RIF,Los Angeles County,2020,layoff permanent,10039107.0,long beach
06/26/2020,08/28/2020,07/01/2020,Boeing Huntington Beach RIF,Huntington Beach,Orange County,24.0,Layoff Permanent,BOEING HUNTINGTON BEACH RIF,BOEING,BOEING HUNTINGTON BEACH RIF,Orange County,2020,layoff permanent,3175692.0,huntington beach
06/25/2020,06/30/2020,07/01/2020,Macy's,Modesto,Stanislaus County,75.0,Layoff Permanent,MACYS,MACYS,MACYS,Stanislaus County,2020,layoff permanent,550660.0,modesto
06/09/2020,06/07/2020,07/02/2020,Bay Club Walnut Creek,Walnut Creek,Contra Costa County,291.0,Layoff Permanent,BAY CLUB WALNUT CREEK,BAY CLUB,BAY CLUB WALNUT CREEK,Contra Costa County,2020,layoff permanent,1153526.0,walnut creek
06/22/2020,03/23/2020,07/02/2020,Swisstex California Inc,Los Angeles,Los Angeles County,9.0,Layoff Temporary,SWISSTEX CALIFORNIA INC,SWISSTEX CALIFORNIA INC,SWISSTEX CALIFORNIA INC,Los Angeles County,2020,layoff temporary,10039107.0,los angeles
04/15/2020,03/26/2020,07/02/2020,Adecco at Air Fayre USA inc.,Gardena,Los Angeles County,310.0,Layoff Temporary,ADECCO AT AIR FAYRE USA INC,ADECCO,ADECCO AT AIR FAYRE USA INC,Los Angeles County,2020,layoff temporary,10039107.0,gardena
04/15/2020,03/30/2020,07/02/2020,"Western Dental Services, Inc.",Orange,Orange County,504.0,Layoff Temporary,WESTERN DENTAL SERVICES INC,WESTERN DENTAL SERVICES INC,WESTERN DENTAL SERVICES INC,Orange County,2020,layoff temporary,3175692.0,orange
06/09/2020,06/07/2020,07/02/2020,Bay Club at the Gateway,San Francisco,San Francisco County,62.0,Layoff Permanent,BAY CLUB AT THE GATEWAY,BAY CLUB,BAY CLUB AT THE GATEWAY,San Francisco County,2020,layoff permanent,881549.0,san francisco
06/17/2020,07/01/2020,07/02/2020,THE TECH INTERACTIVE,San Jose,Santa Clara County,64.0,Layoff Type Unknown,THE TECH INTERACTIVE,THE TECH INTERACTIVE,THE TECH INTERACTIVE,Santa Clara County,2020,layoff type uncategorized,1927852.0,san jose
04/20/2020,04/17/2020,07/02/2020,"Guitar Center, Inc.",Thousand Oaks,Ventura County,55.0,Layoff Temporary,GUITAR CENTER INC,GUITAR CENTER INC,GUITAR CENTER INC,Ventura County,2020,layoff temporary,846006.0,thousand oaks
04/15/2020,03/16/2020,07/02/2020,BON APPETIT Management Company,San Francisco,San Francisco County,1529.0,Layoff Temporary,BON APPETIT MANAGEMENT COMPANY,BON APPETIT,BON APPETIT MANAGEMENT COMPANY,San Francisco County,2020,layoff temporary,881549.0,san francisco
06/24/2020,06/19/2020,07/02/2020,Grand Hyatt at SFO,San Francisco,San Francisco County,15.0,Layoff Permanent,GRAND HYATT AT SFO,HYATT,GRAND HYATT AT SFO,San Francisco County,2020,layoff permanent,881549.0,san francisco
04/20/2020,04/01/2020,07/02/2020,"Kinestral Technologies, Inc.",Hayward,Alameda County,71.0,Layoff Temporary,KINESTRAL TECHNOLOGIES INC,KINESTRAL TECHNOLOGIES INC,KINESTRAL TECHNOLOGIES INC,Alameda County,2020,layoff temporary,1671329.0,hayward
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, inc. dba Lucille's Smokehouse Bar-B-Que",Torrance,Los Angeles County,66.0,Closure Temporary,HOFS HUT RESTAURANT INC DBA LUCILLES SMOKEHOUSE BARBQUE,HOFS HUT RESTAURANTS INC,LUCILLES SMOKEHOUSE BARBQUE,Los Angeles County,2020,closure temporary,10039107.0,torrance
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Long Beach,Los Angeles County,47.0,Closure Temporary,HOFS HUT RESTAURANTS INC,HOFS HUT RESTAURANTS INC,HOFS HUT RESTAURANTS INC,Los Angeles County,2020,closure temporary,10039107.0,long beach
